BTC
ETH
LTC
BCH
EOS
DASH
OXT
MKR
XLM
ATOM
XTZ
OMG
ZEC
LINK
REP
ZRX
ALGO
KNC
COMP
BAND
NMR
CGLD
UMA
LRC
YFI
UNI
REN
BAL
WBTC
NU
FIL
AAVE
GRT
BNT
SNX
SUSHI
MATIC
SKL
ADA
ANKR
CRV
STORJ
ENJ
OGN
1INCH
NKN
